"zpUaS","efdml","vNqhQ","llwez","CVFLD","DwRsZ","gUGeA","jdTsK","CvVUB","vBztq","NvwZr","bGZSr","capGG","irUbB","AlueB","SSAtf","fnPwi","pHZXE","qzjdp","NDapo","GkCZP","wMcue","NkQeJ","uAkMU","Gpgqk","tGwHt","LEoAr","tFErF","lRGmA","iaDHy","ScDgC","IfPOJ","lvKEs","PwEPl","UUZzB","vHeBx","AoZbU"
"A","F","E","C","B","B","C","A",NA,"C",NA,"A","E","B",NA,"C","B","B",NA,NA,NA,"F","A","D","C","A","B","B","D","D","A",NA,NA,"C","B","A","B"
"B","F","D","B","C","C","D","A","B","A","E","C",NA,"B",NA,"C","B","B",NA,NA,NA,"B","A",NA,"C",NA,"B",NA,"A",NA,"B","B","A","C","C","C","A"
"A","F","D","A","B","C","C","D","A","B","E","A","A","B","A","B","C","A","A","A",NA,"E","A","C","C",NA,"B",NA,"C","C","B","D","D","B","A","D","A"
NA,"A","D","B","B","C","E","C","A","A",NA,"A","A","B",NA,NA,"C",NA,NA,NA,"D","D","A",NA,"C","A","A",NA,"B","E","B","B","E","B","B","D","B"
"C","D","E","A","C","B","C","B",NA,"B","D","C","D","B",NA,NA,"C",NA,"A",NA,NA,"D","A",NA,NA,"B","B","E","A","E","A","B","D","D","B","E","B"
"B","F","D","A","B","C","C","C","F","A","F","B",NA,"B","A","C","B",NA,"A",NA,NA,"B","B","A",NA,"A","B",NA,"C",NA,"B","A","E","E","B","B","B"
NA,"F","D","A","B","A","D","D","A","A","B","C","A","A","A",NA,"A",NA,"A","B","B","D","A","D",NA,NA,"A","E","A","E","A","B",NA,"D","B","A","A"
"B","D","D","A","B","A","D","C","A","B",NA,"A","B","B","B","C","B","B","A","C",NA,"F","A",NA,"B","A","B",NA,"B","D","B",NA,"D","A","B","B","B"
"B","C","D","B","A","A","A","E",NA,"C","A","B","A","B",NA,"B","A","B","A","E",NA,"B","A","D","C","B","B","A","D","E","B",NA,NA,"A","C","D","A"
"A","C","D","C","C","B",NA,"D",NA,"C","C","B","C","B",NA,"B","B","A","A",NA,NA,"F","A","D",NA,"A","A",NA,"D","E","B","D","E","B","A","C","B"
"B","F","D","B","C","C","C","C","A","A",NA,"A","F","B",NA,"C","B","A","A",NA,"D","A","A",NA,"C",NA,"A",NA,"D","E","B","B","A","A","A","B","B"
"A","F","D","A","B","A","D","A","B","B","D","C","E","B","B",NA,"B",NA,"A",NA,"A","D","A","D","C","A","B",NA,"B",NA,"A","C",NA,"A","C","C","A"
"B","A","E","A","C","C","A","B","A","A","D","C",NA,"B","B","C","B",NA,"A",NA,NA,"A","A",NA,NA,"A","B","B","C",NA,"B","D","B","A","C","C","B"
"B","A","D","A","B","C","D","E","A","B","A","B","C","B","B","B","A","A","A","B","D","A","A","B",NA,"A","A",NA,"A",NA,"A","B",NA,"F","B","B","A"
"B","F","D","C","C","B","A","C","A","A",NA,"A",NA,"A",NA,"B","A","B","A","E","B","B","A","A","A",NA,"B","F","B","B","A","B","E","B","C","A","B"
"A","C","D","B","B","B","B","A","B","B","D","C",NA,"B",NA,"A","C","A","A","C",NA,"B","A","D","D","A","B","B","B","B","A","D",NA,"D","C","A","A"
"B","C","E","A","C","B","C","A","D","C",NA,"A","A","B",NA,"C","B","B",NA,NA,NA,"B","A","D",NA,"A","B","E","D",NA,"B","C","E","C","A","C","B"
NA,"F","D","C","C","C",NA,"D",NA,"B","A","B","E","B","A","B","C",NA,"A","B","B","D","A","A","A",NA,"A","B","A","D","B","B","B","D","C","C","B"
"B","F","D","B","C","C","D","D","D","C",NA,"A","E","B",NA,NA,"A","A",NA,NA,"B","C","A","D","A","A","B",NA,"A","E","A","B",NA,"D","B","F","B"
"A","C","D","B","C","A","C","D","B","B","D","C",NA,"B",NA,"A","C","A","A",NA,NA,"B","A",NA,"A",NA,"B",NA,"A","E","A",NA,"B","E","B","A","A"
"C","F","D","A","B","B","D","D",NA,"C",NA,"A","A","B",NA,"B","A",NA,"A","C","C","A","A","C",NA,"B","A",NA,"D","D","B","E","D","D","B","B","B"
"A","A","D","B","B","B","C","A","B","C",NA,"A",NA,"B","B",NA,"C",NA,NA,NA,NA,"D","A","D","D","B","B",NA,"A","E","A",NA,NA,"B","B","A","B"
NA,"C","D","B","C","C","C","D","B","C",NA,"A","A","B",NA,"C","B",NA,NA,"E","D","D","A","C",NA,"A","A","B","D",NA,"B","B","D","B","B","D","B"
NA,"F","D","A","A","B","C","D","D","C","E","B",NA,"B",NA,"B","A","A","A","C","B","A","A",NA,NA,"B","B",NA,"A","C","B",NA,"B","F","C","D","B"
"B","F","B","A","B","B",NA,"D","F","C",NA,"C","B","B",NA,"C","B","B","B",NA,"B","B","A","D",NA,"A","A","F","B","B","B","E","A","A","B","A","A"
"B","A","D","A","C","B","C","C",NA,"B","B","C",NA,"B",NA,"B","C","B","A",NA,"D","E","A","B","A","A","B",NA,"D","E","A","C",NA,"D","C","A","A"
"B","A","D","A","C","B","B","A",NA,"C",NA,"A",NA,"B","B",NA,"A","B",NA,NA,NA,"B","A","D","C","B","B",NA,"D",NA,"A",NA,NA,"D","B","A","A"
"B","A","E","C","B","B","D","A","B","A","B","B","C","A","B",NA,"A","A","A",NA,"B","D","A","D","A","A","A","E","D","E","B","B","B","C","B","C","B"
"A","C","B","C","A","B",NA,"C","B","A",NA,"A",NA,"B",NA,"B","A","B","A","C","B","E","A",NA,"D","A","B","E","B","B","B","B","E","E","A","F","B"
"B","F","B","B","A","B","A","C","B","A","D","C","A","B",NA,"A","A","B",NA,NA,"D","C","A",NA,"C","B","A","B","A",NA,"B","E","E","A","B","D","A"
"B","C","E","C","A","B","E","D",NA,"B","D","C",NA,"B",NA,NA,"B",NA,"A",NA,"B","D","A",NA,"C","A","B","B","C","C","B","D","B","C","C","C","A"
NA,"A","E","A","C","C","C","A","A","B","B","A","C","B",NA,"B","C","A",NA,NA,"B","A","A","B",NA,NA,"A","E","B","E","A","B",NA,"B","B","A","A"
NA,"A","D","A","C","B","D","B",NA,"B","C","C","C","A","B",NA,"B",NA,NA,"E",NA,"D","A",NA,"A","B","B",NA,"D","F","B",NA,"E","F","B","C","B"
NA,"F","D","A","C","C","D","B","B","B",NA,"A","A","B",NA,"C","B",NA,"A","B","D","D","B","D","D","A","A",NA,"B",NA,"A",NA,NA,"A","B","A","B"
"B","F","D","B","B","A",NA,"E",NA,"A",NA,"C",NA,"B","A","A","B","B","B","E","B","A","A",NA,"C","B","B",NA,"A",NA,"B","B","D","B","B","B","A"
"C","E","D","B","B","C","D","E","A","A",NA,"C","C","B","A","C","B","A","A",NA,NA,"B","A","B","C",NA,"A","B","B","F","A",NA,"E","D","B","E","B"
"B","A","D","A","A","C","E","E","D","C","F","B","A","B",NA,"C","B","B","A",NA,"D","B","A","D",NA,"A","A",NA,"C",NA,"A","B",NA,"E","A","B","B"
NA,"B","D","A","B","C","C","E","B","B","D","C",NA,"B",NA,"C","B","B","A",NA,"B","F","A",NA,NA,"A","B",NA,"C",NA,"A","B","A","E","B","F","A"
"A","F","D","A","C","A","D","C",NA,"B","E","A","B","B",NA,"C","A","A","A","D",NA,"B","A",NA,NA,NA,"B","B","A","E","B","B","E","D","B","B","B"
"B","A","C","A","B","B","A","C",NA,"A","A","A",NA,"A",NA,"C","C","B",NA,"C",NA,"C","A",NA,"D","B","B","F","D","D","A",NA,"E","B","C","A","B"
"C","F","D","A","B","B","A","E","B","B",NA,"A",NA,"A","A","C","C",NA,"A","E","B","D","A","C","C","A","B","B","C","D","B","B","E","A","C","D","B"
NA,"F","D","B","C","A","E","D",NA,"A",NA,"B","C","B","B","C","C","A","A",NA,"B","D","A","D","A","A","A",NA,"D","D","B","D","D","A","C","F","B"
"A","C","B","C","C","B","E","D","B","A",NA,"A","B","B",NA,"C","B","A",NA,NA,"B","B","A","D","C","A","A","E","D","F","A",NA,NA,"B","B","C","A"
"B","C","D","C","B","B","C","D","A","C","D","C",NA,"B","A","B","B","A","A",NA,NA,"C","A",NA,"C","A","B",NA,"B",NA,"B","B","A","B","B","B","B"
"A","F","D","B","A","A","D","C","A","C",NA,"A","A","A","A","C","A","B",NA,"B","E","C","A","D",NA,"A","A",NA,"B","D","B","B","B","B","B","D","A"
"C","F","B","A","B","A","E","E","A","A","E","C","A","B",NA,"C","C","B","A","B",NA,"B","A","A","D","A","A","B","A","F","A","B","B","C","A","A","A"
"A","D","B","B","C","A","C","C","F","C",NA,"C","E","B","A","B","A","A","B","D",NA,"F","A","A","D","A","A","E","D","D","B",NA,"A","F","B","B","B"
"B","F","C","B","C","C","D","A","B","A","D","B",NA,"B",NA,"B","A","B","A",NA,"B","F","A","B","C","A","A","B","C","C","A",NA,NA,"A","B","A","A"
NA,"A","E","B","C","A","C","A",NA,"A",NA,"A","A","B","A",NA,"C",NA,"A",NA,"B","D","A","D","C","A","A","B","C","C","B","D","E","B","B","D","B"
"A","A","E","A","C","A","C","B","B","A",NA,"C",NA,"B",NA,"B","C",NA,"B",NA,NA,"E","A","D",NA,"A","A","F","A","D","A","B","A","D","B","F","B"
NA,"F","D","C","B","B","C","C",NA,"C","B","B","E","B",NA,"C","C","B","A",NA,NA,"C","A","B","A","A","A",NA,"D",NA,"A",NA,NA,"A","B","A","A"
"B","F","B","B","C","A","C","A",NA,"C",NA,"B",NA,"B","A",NA,"B","B","A","E",NA,"C","A","D","C","A","B","B","C",NA,"A",NA,"D","D","A","A","B"
"A","A","D","A","B","C","A","A","D","B","D","C","A","A","A","C","A","A","B","B",NA,"B","A",NA,NA,"A","B","B","B","B","A","D",NA,"D","B","A","B"
"B","F","E","A","B","C",NA,"C","B","B",NA,"A",NA,"A","B","C","C","B","A","C","B","F","A",NA,"C",NA,"B",NA,"A","C","A","C","D","F","C","F","B"
"C","A","D","C","C","B","E","D",NA,"B","D","B","F","B",NA,"A","A","B","A",NA,NA,"A","A",NA,"A","A","B",NA,"D","E","A",NA,"E","A","C","D","A"
"A","F","D","A","B","C",NA,"D",NA,"A","A","A","C","B","B","B","B","A","B","B","B","E","A",NA,NA,NA,"B",NA,"D","B","A",NA,NA,"F","A","B","B"
"B","F","D","A","B","C",NA,"C",NA,"A","B","B","F","B",NA,"C","B","A",NA,NA,"B","A","A","D",NA,NA,"A",NA,"D","F","B","A","A","F","B","C","A"
NA,"A","D","C","C","C","C","A","A","B",NA,"A",NA,"B",NA,NA,"A","B","A",NA,"D","D","A","D","A","A","B","B","C","B","B","B","B","C","A","C","B"
"A","F","B","A","C","C",NA,"D","D","B","B","B",NA,"B",NA,"C","A",NA,"A","D","B","B","A","C",NA,NA,"A","F","C","D","A",NA,"E","C","B","E","B"
"B","F","D","A","B","C","E","C","A","B",NA,"A",NA,"B",NA,"B","C","A",NA,NA,NA,"A","A","D",NA,NA,"B","E","C",NA,"A",NA,NA,"A","A","B","A"
"C","F","B","B","B","C","D","D",NA,"C",NA,"A","E","B",NA,"B","B","A",NA,"A","D","C","A","B",NA,NA,"A","F","D","D","B","B","B","A","B","B","B"
"B","A","D","A","A","A","D","E","D","B","E","C",NA,"B",NA,"C","A","A","A","C","D","A","B",NA,NA,"B","B",NA,"A","E","A","B",NA,"C","B","B","B"
"B","F","D","A","C","B","C","E","B","B","A","C",NA,"A","A","B","B","A","A","B",NA,"E","A","D",NA,"A","B","B","C","C","A","B",NA,"A","C","C","B"
NA,"F","E","B","C","C","E","D","D","B","D","C",NA,"A","A",NA,"C",NA,NA,"C","B","D","A",NA,NA,NA,"B","F","D","D","A",NA,NA,"B","B","A","B"
"C","F","D","A","C","C",NA,"C","A","B","C","C","F","B",NA,"B","B","A","A","B","B","C","A","B","D","A","A","C","B",NA,"A","B","E","E","C","B","A"
NA,"C","D","C","C","B","A","A",NA,"B","E","B",NA,"B","A","C","A",NA,"A",NA,"B","D","A","D","C","A","B",NA,"D","E","B","B","A","A","A","C","B"
"B","A","D","C","B","B","C","E","A","A",NA,"A",NA,"B","A","C","B","A","A",NA,NA,"A","A",NA,"A","A","B",NA,"A",NA,"B","A","A","B","B","B","B"
NA,"F","D","A","A","C","E","C","B","C","B","C",NA,"A",NA,NA,"C","B","B","C","B","B","A",NA,NA,"A","B","B","B","D","B","D",NA,"A","B","F","B"
"C","A","D","A","B","B",NA,"E","B","C",NA,"A","C","B",NA,"A","C","B",NA,"A",NA,"C","A","A",NA,NA,"B","F","C","B","A",NA,NA,"B","C","B","B"
"A","F","B","A","B","B","C","D","A","A","E","C",NA,"A","A","B","B","A","B","C",NA,"E","A",NA,NA,NA,"B","E","D",NA,"B","B","E","F","A","A","B"
NA,"C","B","B","B","B",NA,"A","D","B","E","B",NA,"B",NA,NA,"C","B","A",NA,NA,"D","A","D","D","B","B","A","C","B","A","D",NA,"D","C","F","B"
"A","F","D","B","B","C","E","C","A","C","A","A",NA,"B","A",NA,"C","A","A",NA,NA,"D","A",NA,"C",NA,"B",NA,"A","E","A",NA,"E","A","B","B","A"
"B","A","D","B","B","B","E","A",NA,"C",NA,"A","C","B","A","B","C",NA,NA,NA,NA,"B","A",NA,"A","A","B",NA,"D","E","A",NA,"B","A","A","F","B"
"B","F","D","A","B","B","E","C","B","B",NA,"B",NA,"A","B","C","A","B","A","B","B","F","A",NA,"C","A","B","F","A","E","B","B","E","B","A","C","A"
"A","A","E","A","C","A","C","A","D","C","E","B",NA,"B","C",NA,"B","A",NA,NA,NA,"D","A",NA,NA,"A","B","E","D",NA,"B","A","A","C","A","B","B"
"C","F","E","A","B","B","D","C","B","A","B","B",NA,"B",NA,"C","A",NA,"A",NA,"B","D","A","C","C","B","B","A","C","B","B","B","E","E","B","C","B"
"A","A","E","A","A","A","C","A","C","C",NA,"C",NA,"B","A","B","A","B","B",NA,"B","F","A","D",NA,"A","B","B","B","D","A",NA,"B","B","C","A","B"
"A","F","E","A","A","C","E","D","B","C","F","C","C","B","B","B","C","B","A",NA,"A","F","A",NA,NA,"A","A","E","D","E","A","E","E","D","C","F","A"
"B","F","D","B","C","A","C","C","B","C","E","B",NA,"B",NA,"B","B","B","A",NA,NA,"E","B",NA,"B","A","B","E","A","F","B","B","B","C","B","C","B"
"B","F","B","A","B","B",NA,"C","B","B","D","C","F","A",NA,"C","B","A","A","C","B","A","A","D","C","A","A","B","A",NA,"A","C",NA,"D","C","A","A"
"B","F","D","C","C","B","C","C","F","A","F","B","E","B",NA,NA,"C",NA,"A",NA,"B","D","A",NA,"A",NA,"A","E","A","E","B","E",NA,"A","B","C","A"
"A","C","E","C","C","B","C","A","A","C","E","A","A","B","A","B","B",NA,"A",NA,"B","F","A",NA,"C","A","B","B","A",NA,"B","E","D","B","B","E","A"
"B","F","D","C","C","B","C","C","D","A",NA,"A",NA,"B",NA,"C","B","B",NA,"C","B","F","A",NA,"A","B","B","F","A","E","B","C","B","C","B","B","A"
"B","F","D","A","C","C",NA,"E","A","A","A","C",NA,"B",NA,"A","B","B","A","B","D","A","A",NA,"B",NA,"B",NA,"A",NA,"A",NA,NA,"B","A","B","B"
"B","A","E","C","B","A","C","E","D","A",NA,"A","C","B","A","C","A","B","A",NA,"E","B","A","D","A","A","A","E","A","F","B","D","E","E","C","C","B"
"B","F","D","A","B","B",NA,"E","A","C",NA,"A","E","B",NA,"C","A","B",NA,NA,"B","E","A","D",NA,"B","A","B","C","D","B","D","B","E","A","C","B"
"B","F","D","A","B","C","C","D","B","A","B","C","F","B",NA,NA,"B","B","A","B","B","D","B","B",NA,NA,"B","E","B",NA,"A",NA,"D","B","B","B","A"
NA,"F","D","C","A","B","C","D","A","B","C","B","A","B","A",NA,"A","B","A",NA,"B","F","A",NA,"A","A","B","F","B","D","B","C","E","E","C","C","B"
NA,"F","B","B","C","B",NA,"A","A","A",NA,"A","A","B","A",NA,"B",NA,NA,NA,"D","D","A","D","C","A","A","E","D","E","A",NA,"E","F","C","D","B"
"B","A","B","A","C","C","D","A","D","B","B","C","D","B",NA,"C","C","A",NA,"B",NA,"A","A",NA,NA,NA,"B","E","B","B","A","E","B","F","B","E","A"
"B","D","D","B","C","B","D","C","B","B","A","C",NA,"B",NA,"C","A","B","B",NA,"B","F","A","D","D",NA,"A",NA,"A","E","A","B","B","F","B","A","B"
"A","F","D","A","C","B","D","B","B","A",NA,"A","F","B","B","B","A","B",NA,NA,NA,"F","A","D","C","B","B",NA,"A","E","A",NA,"A","B","B","A","B"
"A","A","D","B","C","C","C","A","B","A",NA,"A","C","B",NA,"B","C","A",NA,"B",NA,"B","A",NA,"C",NA,"B","B","A","A","B","E","B","C","B","B","A"
NA,"A","E","A","B","C","A","E","A","B",NA,"A","F","B","B","A","A","A",NA,NA,"B","D","A","D",NA,NA,"A","F","D","E","B",NA,"A","B","A","C","A"
"B","D","B","A","C","A","E","A",NA,"C","D","C","A","B",NA,"C","C","B","A",NA,NA,"C","A","D",NA,"A","A","E","B","D","A",NA,"E","A","A","C","B"
"B","F","B","B","C","A","A","D","D","B","D","C",NA,"B",NA,"B","B","A","A",NA,NA,"A","A","D","D",NA,"B","A","A","F","A",NA,"B","D","B","C","B"
"B","A","D","C","C","B","C","E","D","B","B","C",NA,"B",NA,NA,"B","A","B","C","B","A","A","D","A","A","B","B","A",NA,"B","D","E","D","C","B","A"
"C","F","D","A","C","C",NA,"C","B","A","B","C",NA,"B",NA,"C","A","B","A",NA,NA,"A","A","D",NA,"A","B","F","D","D","A","B",NA,"F","B","B","A"
"C","F","D","A","B","C","C","D","B","C","D","B",NA,"B",NA,"B","A",NA,"A","E","E","A","A",NA,NA,NA,"B","E","A","F","A","C",NA,"F","A","A","B"
"B","F","D","A","A","B","C","D","B","A","D","A","E","B","A",NA,"B",NA,"A",NA,NA,"D","A",NA,NA,"A","B",NA,"D",NA,"B","B","B","A","C","E","B"
"B","F","D","B","B","C","A","D",NA,"A",NA,"A",NA,"B",NA,NA,"C",NA,"A",NA,NA,"D","A","D",NA,NA,"A","E","D","E","B","B","A","C","B","C","A"
"B","F","D","A","A","B","E","D","A","A","C","A","C","B","A","A","C","B",NA,NA,"D","C","A","D",NA,"A","A",NA,"A","F","B",NA,"D","D","B","D","B"
NA,"F","D","B","B","C","C","E","B","B",NA,"C",NA,"B",NA,"B","A","B","B",NA,"D","F","A",NA,"B",NA,"B","E","B","D","A",NA,NA,"A","B","A","B"
"B","F","A","B","C","B","D","D","A","A","D","A",NA,"B",NA,"C","A",NA,"A",NA,NA,"B","A",NA,"A","A","B","B","C","D","B","D",NA,"B","C","D","B"
"A","F","D","A","B","B","D","D",NA,"C",NA,"A","F","B","A","C","A","A",NA,"B","B","E","A","D",NA,"A","A",NA,"D","D","A",NA,"E","F","B","F","B"
"B","A","D","B","B","C","C","A","F","B",NA,"A","E","A","A","C","C","B","A","B",NA,"F","A","D","C",NA,"B",NA,"A","E","B","C","D","C","B","C","B"
"C","A","D","A","C","A",NA,"A","B","B","A","C",NA,"B","A","C","C","B","A",NA,NA,"A","A","C","C","B","B","A","C",NA,"A",NA,NA,"F","B","B","A"
"B","F","B","B","B","A","B","D","B","A","B","C","C","B","A","C","B","A","A",NA,"B","A","A","D","C","A","A","B","B",NA,"A","B",NA,"D","C","A","B"
"B","F","E","B","C","C","C","D","B","C","F","C","A","B",NA,NA,"A","B","A","E",NA,"E","A","D","C",NA,"A","F","B","D","A","B",NA,"B","C","F","A"
"A","F","D","B","C","B","E","C",NA,"B","E","C","C","B",NA,"C","B","A","A",NA,"B","B","A","D","C","A","A","F","D",NA,"B","B","E","E","B","A","B"
NA,"F","E","A","C","B","A","A","B","A","B","C",NA,"A","A","B","A","A","A",NA,NA,"A","A","B",NA,"A","B","B","A","E","B","B","D","D","B","C","B"
"B","A","E","A","B","B","E","A","A","A","D","C","C","B",NA,NA,"B","B","A",NA,"B","D","A","D",NA,"B","A","B","A",NA,"A",NA,NA,"A","A","A","B"
"B","A","D","A","C","A",NA,"A","A","A","C","C","E","A","B","B","C","A",NA,"C","B","C","A","D","A","A","B","B","B","D","B","D","E","A","B","A","B"
NA,"A","E","A","C","B","C","E",NA,"A","E","C","A","B","A",NA,"B","A","B",NA,"D","D","A","D",NA,NA,"A","E","D",NA,"B","E","A","A","B","B","A"
"B","F","D","A","B","C","D","E","E","C",NA,"A",NA,"B","B","B","C","B",NA,NA,"B","E","B",NA,NA,NA,"B",NA,"B","B","A",NA,NA,"B","B","E","A"
"A","F","E","B","C","A",NA,"E","B","C","D","C","F","B","B","C","C","B","A","D","B","A","A",NA,NA,"A","B","B","C",NA,"A","D",NA,"F","C","B","B"
"B","F","D","B","C","B","E","D","A","C",NA,"A","B","B","A","C","A","B","A","C","D","C","A",NA,"B","A","B","E","A","E","B","E","D","E","A","C","B"
"C","F","D","B","C","C",NA,"E",NA,"A","B","B",NA,"B",NA,"C","C","A","A",NA,"B","A","A",NA,"C","A","B","F","B","D","B","D","D","E","A","D","B"
"B","A","D","B","C","A","D","B",NA,"A","E","C","D","A","B","B","B","A","A","C",NA,"A","A","D","C",NA,"A",NA,"D",NA,"B","D","B","D","C","A","A"
NA,"E","D","C","B","A",NA,"E","B","A","C","B","F","A","A",NA,"C","B","A","C",NA,"D","A",NA,"A","A","B",NA,"D","E","A",NA,NA,"B","C","A","B"
"C","F","D","B","C","C",NA,"D","B","C","D","A","E","B",NA,"B","B","A",NA,NA,NA,"A","A","D","C",NA,"B",NA,"A","E","A",NA,"E","B","C","D","B"
NA,"A","D","A","C","A","A","A","F","A","E","C","A","B",NA,NA,"C","A","A","D","B","D","B","D",NA,"B","A",NA,"B","D","B","D","E","B","C","C","A"
NA,"A","E","A","B","C","E","C","A","A","A","B",NA,"B",NA,"C","A","B","A","B",NA,"C","A","D",NA,"A","A","B","A",NA,"B","C","A","D","C","C","B"
"B","A","D","B","C","C","E","A",NA,"A","D","B",NA,"B","A","B","C","B","A",NA,NA,"F","A",NA,"C","A","B",NA,"A","E","B","B","E","D","B","C","A"
NA,"F","D","B","C","B",NA,"C","B","A","A","C","A","B","A","C","C","A","A","B","B","D","A","C","A","B","A",NA,"B","D","B","D","E","F","C","C","B"
"B","F","D","A","C","B","C","D","B","B","B","B",NA,"A","A","B","C",NA,NA,"E","B","A","A",NA,"C",NA,"B",NA,"A","E","B","C","B","A","B","B","B"
NA,"E","E","B","B","A","C","E","F","B",NA,"A","D","B",NA,"C","B","A","A","E","B","D","A","D","C","A","A","E","D",NA,"B","B","E","B","C","C","B"
"C","D","D","C","B","C","A","C","A","B","D","B",NA,"B",NA,"B","B","A","A",NA,NA,"C","A",NA,"D",NA,"B",NA,"A","B","A",NA,"D","F","A","A","B"
"B","A","E","B","C","B","A","A","E","A",NA,"A",NA,"B","A","B","B","B",NA,NA,"D","E","B","D","D","A","A","E","A","B","B",NA,"A","E","C","C","B"
"C","A","D","A","C","A",NA,"A",NA,"A",NA,"A",NA,"A","A","B","B","B","A","B","B","A","A",NA,NA,"A","B","E","D",NA,"A","E","B","F","B","F","A"
NA,"F","D","A","C","B","D","D",NA,"C","D","B",NA,"B",NA,"C","A","A","A",NA,NA,"C","A","C",NA,"A","B",NA,"D","E","A","B",NA,"D","C","B","B"
"B","F","D","B","B","B",NA,"D","B","A",NA,"C","F","B","B","B","B","B","A","D",NA,"F","A",NA,"A","B","B","A","C","C","A",NA,"A","A","A","B","A"
"C","D","D","C","C","B","A","C","D","C","D","B",NA,"A","B",NA,"A","B","A","C","B","A","A",NA,"C","A","B","B","D","E","B","B","A","B","B","C","B"
"B","F","D","A","C","C","C","D","B","C","D","C",NA,"B",NA,"C","A","A","A",NA,NA,"F","A",NA,NA,NA,"B",NA,"D",NA,"A","E",NA,"B","C","A","A"
"B","E","D","B","B","C","D","D",NA,"C","B","B",NA,"B","A","C","B","B","A",NA,"B","B","A","D","A","A","A",NA,"B",NA,"A",NA,NA,"A","B","B","A"
"B","D","D","C","B","B","C","A","F","A",NA,"A",NA,"B",NA,NA,"C","B",NA,"C","B","B","A",NA,"C","A","A","B","C","C","A",NA,NA,"A","A","E","A"
"A","C","D","C","C","B",NA,"D",NA,"C","A","C","E","A","A","B","B","B","A","C",NA,"F","A",NA,"B","A","B",NA,"D",NA,"A",NA,NA,"F","A","B","B"
NA,"D","B","C","C","A","B","B","A","C","D","C","A","B","B","B","B","A","A","B","D","F","A","D","C","A","A","B","A","F","A","B","B","F","B","F","A"
"A","A","B","B","C","C","D","B","A","A",NA,"A",NA,"B",NA,"C","B","B","A","E","B","B","A","D","C",NA,"A","B","A",NA,"B","B","B","E","B","A","B"
"B","F","D","A","A","A","D","B","A","B",NA,"A","F","B","A","B","B",NA,NA,NA,"B","A","A","D",NA,"A","A","E","B","B","A",NA,"E","A","B","D","B"
"B","F","D","A","C","A","D","A",NA,"B","A","C",NA,"B","A","C","A","B","A","C","B","F","A",NA,NA,"A","B",NA,"D","D","A",NA,NA,"F","B","B","B"
"C","F","D","A","C","C","C","D","B","B","D","C",NA,"B",NA,"C","A","B","A",NA,NA,"A","A",NA,"B",NA,"B","B","A","B","A","B",NA,"D","B","A","B"
NA,"A","B","B","B","B","D","E","A","A",NA,"A","F","B",NA,NA,"A","A",NA,NA,NA,"D","A","D",NA,"A","B","F","B","E","B","A","A","C","B","D","A"
"A","F","D","B","C","B","C","B",NA,"C","D","B","C","B",NA,NA,"B",NA,"A",NA,"B","D","A","D",NA,"B","A",NA,"D",NA,"B","D","B","D","B","C","B"
"B","F","D","A","C","A",NA,"A","B","B",NA,"A",NA,"A","A","C","B","A",NA,"C",NA,"A","A",NA,NA,NA,"B",NA,"C",NA,"A",NA,NA,"E","A","B","B"
"B","F","E","A","B","C","D","E","A","C","D","C",NA,"B",NA,"B","A","A","A",NA,NA,"E","A",NA,NA,"A","B","E","D","E","A",NA,NA,"F","B","B","A"
"B","A","D","B","B","C","C","A",NA,"A","D","C","A","B","A","C","B","B","A",NA,NA,"C","A","B","D",NA,"A",NA,"D","E","A",NA,NA,"C","C","A","B"
"B","A","D","C","B","B",NA,"E","B","C",NA,"A","E","B","B","B","C","B",NA,"B","D","B","A",NA,"A","A","A","B","A","E","B","C","E","F","B","B","B"
NA,"F","D","A","C","B","C","A","B","A","F","A",NA,"B",NA,NA,"A",NA,NA,"B","D","D","A","B",NA,"B","B","A","B","D","A","B","D","B","B","B","B"
"B","F","E","A","A","B","C","A","A","C","D","C","F","A","A","B","B","B","A","C","D","B","A","D","D","B","A","C","C",NA,"A",NA,"E","B","A","B","A"
"B","F","E","B","B","A","C","D","B","A",NA,"A","A","B",NA,NA,"B","B","A",NA,"B","F","A","B","A","A","A","E","C",NA,"A","B",NA,"F","C","B","B"
"C","E","D","B","C","C","C","E",NA,"C","D","C",NA,"B",NA,"B","B","B","A",NA,"B","F","A","A","A",NA,"B",NA,"D",NA,"A",NA,NA,"B","B","F","A"
"B","F","D","B","C","C","C","E",NA,"C","B","B",NA,"B",NA,"B","A","A","A","C",NA,"E","A",NA,"C",NA,"B","F","D",NA,"B","B","B","D","C","C","B"
"C","B","D","A","C","B","C","A","D","B","D","B",NA,"B","A","B","B","B","A",NA,"D","F","A","C","D",NA,"B",NA,"A",NA,"A",NA,NA,"D","A","B","A"
"C","D","B","B","B","B","D","C","B","A","B","C","F","B",NA,NA,"A",NA,"A",NA,NA,"D","A",NA,"D","B","B","F","C","C","B","D","B","F","B","B","A"
"A","E","E","B","C","A","D","D","F","B","C","A",NA,"A","A","B","A","A",NA,"E",NA,"E","A",NA,"C","B","B","A","D",NA,"B","B","D","C","B","C","A"
"B","E","D","B","B","C","D","C","D","C",NA,"A","A","B",NA,"B","C","A",NA,NA,"D","E","A","B","C",NA,"A",NA,"B",NA,"A","B",NA,"C","B","A","B"
"B","F","D","A","B","C",NA,"B","A","C","B","B",NA,"B",NA,"B","B","B","A",NA,"B","E","A",NA,"C",NA,"B",NA,"A",NA,"B","B","A","F","C","B","B"
