"WYwfp","vhQvJ","tLOHX","RgmKY","FAIJt","uEpzT","QGdLi","Yeylk","QCQtq","EfFHC","INUSU","HKwVn","hBMen","bjoNn","eVSpV","SYltm","Psrrk","aiiZa","wgriv","RcBhT","hgaQp","UtoEB","LmjIf","EaQAS","hkpyF","IOHMH","OMcWd","AJvLt","Lctit","xISFX","LmZyP","kJviW","kgMLV","HtoiS","osOKb","WtGYX","LzfyG","OeKSO","cFJIc","RqRVT","DYMQB","zgjGa","iAdij","cEpaJ","UIirr","gFyTi","pvPbb","PDaYY","UPHgP"
NA,"D","A","C","C","C","A","D","A",NA,"A","C","A","A","C","A","B","A",NA,"D","C","B","C","B","B","C",NA,"B","A","D","E","C","B","C","B",NA,"A",NA,"D","A","A","A","F","D","D","B","B","D","A"
"C","C","B","C","C","A","D","F","B","A","C",NA,"A","D",NA,"A","A","E","C","D","C","B","B","A","A","A","A",NA,"D","D","C","E","D","A","A","C",NA,"E","A","D","A","A","C","A","D","B","D",NA,"C"
NA,"A","A","C","B","A","D","F","A","C","C","C","A","D","D","A","B","A","E","D","A","A","D","B",NA,"F","D","A","A",NA,"A","F","D",NA,"D","C","C",NA,"A","D","C","D","B","B","E","B","D","E","A"
NA,"A","B","D","B","C","A","B","A","A","A","E","B","D","E","A","A","E","F","C","B","A",NA,"A","C","D","E",NA,"A","D","E","C","D","A",NA,"B","A","F","A",NA,"A","E","C","A","E","B","D","F","A"
"C","D","A","C","B","A","B",NA,"A",NA,"A","C","C","D","C","A","B","B",NA,"A","A","B","C","B",NA,"B","C","A","A","D","C","F","C","C","F","A","B","F","A",NA,NA,"E","C","E","D","B","A","F","A"
"B","C","A","A","B","C","A",NA,"A",NA,"A","C","A",NA,NA,"A","A","B","A","B","C","A",NA,"B","F","B",NA,NA,"B","C","C","A","D","E","F","C","D","F","A",NA,"B","E","C","B","D","B",NA,"B","C"
"B","B","B",NA,"C","A","B",NA,"A","C","C","C","A","C",NA,"A","B","E","F","C","D","A","B","B",NA,"D",NA,"A","B","D","F","D","B","C","B","B","B","F","A",NA,NA,"E","C","A","E","B","D",NA,"A"
"A",NA,"A","B","B","A","D","A","D",NA,NA,"C","A",NA,"B","A","D","A",NA,"C","F","B","C","A","C","C","D","A","A","D","D","A","C","C","C","C",NA,NA,"A","B",NA,"A","E","D","D","B","B","F","A"
"B",NA,"A",NA,"B","A","D",NA,"A","C","B","C",NA,"A",NA,"A","A","C","E","D","F","A","B","A",NA,"D","D",NA,"A","A","B","A","D",NA,"A","B","A","F","A","D","B","E","C","B","D","A","A",NA,"A"
"C","A","B","B","C","B","A","E","A","A","B","C","B","D",NA,"B","B","E","D","C","F","A","A","A","E","A",NA,"B","A","B","E","B","B","C","E","A","D","F","E","C","E","D","E","B","B","B","C","F",NA
"B","B","A","C","A","C","B","F","D","C",NA,"C","B","B",NA,"A","C","A",NA,"A","C","A","A","A",NA,"F",NA,"A","C","C","F","D","B","A",NA,"D","C","F","A","C","B","B","C","B","E","B","D","A","C"
NA,"A","B","D","A","B","A","B","D","B","C","A","B","E","E","A","B","B","C","D","C","B","D","A","C","B","C","B","A","C","E","E","C","E","F","D","A","F","E",NA,"B","E","C","E","B","B","C","F",NA
"A","C","B","A","A","B","A","A","A","B","A","C","B",NA,"B","A","B","E",NA,"C","C","A","B","B","C","D","B","B","B",NA,"A","D","A","A","A","F","C","E","E",NA,NA,"E","C","A","D","B","B",NA,"A"
"C",NA,"A","C","B","C","D","E","A",NA,"B","B","A","E","C","A","A","E",NA,"D","C","A",NA,"B","C","F","D",NA,"A","D","E","F","D","A","C",NA,NA,NA,"A","D","E","E","A","B","D","B","C","E","A"
"A","C","A","C","C","C","E","D","A","B",NA,"E","A",NA,"E","A","A","E",NA,"C","C","B","A","A","D","D","B","C","C",NA,"B","B","D","A","F","A","C","F","E",NA,"A","A","A","D","A","B","B","B",NA
NA,"D","A",NA,"B","C","A",NA,"B",NA,NA,"C",NA,"B","B","A","D","B","B","A","B","A","B","B","B","E","F","A","B","B","F","A","A",NA,NA,"D","B","F","E","C",NA,"B","C","A","D","B","B",NA,"C"
"B","C","A","D","C","C","E","B","A","B","B","A","A","B",NA,"A","B","A",NA,"C","C","A","B","A",NA,"E","B","C","D","D","A","A","B","C","F","A","D","F","A",NA,NA,"A","C","C","A","B",NA,NA,"C"
"C","B","A","C","C","A","B",NA,"B",NA,"A","B","A",NA,"B","B","B","E","F","D","B","B","C","B",NA,"A",NA,"B","A","A","C","F","A","C","C",NA,"B","E","A",NA,"E","A","C","B","D","A","A","C","A"
"B","A","A","D","C","A","D","F","A",NA,NA,"A","A","A","A","A","B","C","A","D","C","A","C","A","C","E",NA,"B","D",NA,"C","B","C","A","D","D","B","E","E","A","C","D","E","D","A","B","D","B","A"
"A","C","B","B","A","B","A",NA,"A","B","A","C","A","B","C","B","C","E","B","D","A","B","A","B","E","E","B","C","A",NA,"A","D","A","A",NA,NA,"B","A","D",NA,"A","D","C","D","D","A","C",NA,"A"
"B",NA,"A","C","B","A","A","F","A",NA,"C","C","C","A","A","B","D","C","F","B","B","A",NA,"A",NA,"B","E","A","C","A","D","D","B","A",NA,"B","B","E","B",NA,"A","D","C","A","D","B","A","B","C"
"B","C","A",NA,"B","C","D","F","B",NA,NA,"C","B",NA,"D","A","D","A","A","D","A","B","B","B",NA,"B",NA,"B","B","C","D","B","C","C","B",NA,"C","F","E","A",NA,"B","C","D","D","B","C","B",NA
"C","A","A","B","A","B","D","C","D",NA,"C","C",NA,"E",NA,"A","C","E",NA,"C","A","A",NA,"B","F","A","E","C","A","D","B","F","C",NA,"F","A",NA,NA,"C",NA,NA,"A","A","D","D","B","B","E","A"
"B","B","B",NA,"B","B","B","F","A","C","A","C","B","F","B","B","A","E","B","D","C","B","B","B","C","E","A","C","A","A","F","B","A","A","E","A","A",NA,"A","D",NA,"D","A","F","D","A","C",NA,NA
"B",NA,"A","D","A","B","D",NA,"B",NA,"B","C","B","D","A","B","B","E",NA,"D","C","B","D","A",NA,"B","C","B","B","C","D","F","A","C",NA,"A","C","B","E",NA,"E","D","C","E","D","B",NA,"F","A"
NA,NA,"A","D","B","C","D",NA,"A","A","C",NA,"B",NA,"C","A","B","A","E","C","F","A","C","A",NA,"A","F",NA,"A","B","E","D","A",NA,"E",NA,"D","F","D","C","B","A","C","E","E","B","C","B","A"
"A","A","B","D","A","A","A","A","A","C","A","B","A","F","B","A","B","E","A","C","E","A","A","A","C","D",NA,"B","A",NA,"C","D","B","A","E","D","C","D","A","D","B","A","F","F","D","B","C","E",NA
NA,"D","A","C","A","C","A","F","B",NA,"C","C","A","F",NA,"B","C","E","E","B","C","A",NA,"A","C","A","E",NA,"A","A","E","C","D","E",NA,NA,"C","A","A","A","E","A","C","E","D","A","A","A","A"
"B","D","A","B","B","C","D",NA,"A",NA,"A",NA,NA,"D","B","A","D","E",NA,"A","C","A","B","A","D","B",NA,"C","C","D","C","A","A","A",NA,"D","C","C","B","D","A","A","C","E","D","B","A",NA,"C"
"C","C","A","D","A","A","D","E","A","B","B","A","B","A","B","B","B","E",NA,"A","C","B","A","A",NA,"B","B","C","D","D","B","C","D","E","B","A","A",NA,"E","A","B","A","A","B","A","B","A","C",NA
"A","C","A","C","C","A","B","F","A","A","C","C","A","D",NA,"A","D","C","A","A","F","A","A","A",NA,"C","F","C","C","C","B","F","B","A","A","F","C","E","D","D","E","D","C","B","D","B","D","B","A"
"B","C","A","C","A","B","A","F","A","C",NA,"A","B","D","A","A","B","A","F","D","F","A","A","A","C","E",NA,"B","C","A","F","B","A",NA,"C",NA,"D","E","B","D","A","D","A","D","E","A","D","B","A"
"A","D","A","B","A","C","A",NA,"A",NA,"C","C","B","F",NA,"B","B","E",NA,"D","C","B","C","B","D","B","E",NA,"D","B","B","B","A",NA,"A","A","A","D","A","D","A","B","C","A","D","A",NA,"A",NA
"A",NA,"B","C","B","A","D",NA,"B","A",NA,"A","A","A","A","A","D","E","B","C","E","B","A","B",NA,"C","F","C","C","C","B","B","D","E","F",NA,NA,"B","E","A","A","B","C","D","D","B","B","D",NA
NA,"D","A","C","B","B","B","F","D","B","C","A","B",NA,NA,"B","D","A",NA,"C","A","A","C","A","E","E","C","B","A","D","A","D","A","E","F","A","C","F","D",NA,"E","A","C","B","D","A","D","C","A"
"B","D","A","D","C","C","B","E","A",NA,"C","A","C",NA,NA,"B","A","E",NA,"A","C","B","D","A","F","B",NA,"C","C","C","F","C","A","A","D","A","B","E","D","D",NA,"A","C","C","D","B","A","D","A"
"B","D","B",NA,"B","A","B","B","A","B","B","E",NA,"B","A","B","A","B","B","C","E","B","B","A","A","E","E",NA,"D","C","D","D","D","C",NA,NA,"A","F","B",NA,NA,"E","C","F","D","B",NA,NA,"C"
"B","C","B","C","A","A","A","A","B","C","C","C","A","D",NA,"A","B","B",NA,"A","C","A","A","A","E","A",NA,"A","B","C","F","D","C","C","A","A","D","F","C","A",NA,"A","E","B","D","B","D","F","A"
NA,"D","A","B","B","A","A",NA,"D",NA,"B","B","C",NA,"C","A","A","E","E","D","B","A",NA,"A","D","A","D",NA,"B",NA,"E","D","A","A",NA,NA,"C","F","B","D","E","E","C","E","D","B",NA,"F","A"
"A","D","B",NA,"A","A","A","F","A","C","B","A",NA,"A","B","B","C","E",NA,"B","C","A","B","A","B","A","C","A","D","A","B","B","A","A","F",NA,"D","F","E","D",NA,"B","A","D","D","A","C",NA,NA
"C",NA,"B","D","B","C","A","A","A","C",NA,"C","B",NA,NA,"A","A","E","A","D","F","B","D","A","F","A","E","C","B","C","D","E","A",NA,NA,NA,NA,"F","B","D","A","D","C","D","D","B","B","D","A"
"B","B","A","D","C","A","A","F","D",NA,"B","C","A",NA,"D","A","C","E","F","D","C","A","C","A",NA,"E","E","C","D","C","A","F","D","E","A","F","B",NA,"A","D","E","B","A","B","D","B","B","E","A"
"C","B","B",NA,"B","B","B","E","D","C","A","E","B","E","C","A","D","B","D","B","F","A","B","B","C","B","A","A","B","C","C","D","C","A","B",NA,"B","E","B","A","A","A","A","A","D","B","D","C","A"
"B",NA,"B",NA,"B","C","B","D","A","B","B","C","A","C","E","A","B","C","B","D","A","A","B","A","E","F","B","A","A","A","C","D","B","A","D","D","A","F","A","C",NA,"E","A","C","D","A","D",NA,"A"
"C","D","B",NA,"B","A","D",NA,"C","C",NA,"E",NA,"A","A","A","D","A","E","B","F","A","B","B","F","F",NA,"A","C",NA,"E","A","C","A","A","F","B","F","B","A",NA,"E","C","A","A","B","C",NA,"C"
"C","A","B","C","C","A","A",NA,"A","C","A","C","B","D","D","B","A","A","B","B","A","B","A","A","F","A",NA,NA,"A","A","F","D","C","C","F",NA,"B","F","A",NA,"E","B","C","F","D","B","B","F","C"
"C",NA,"A","C","B","A","D","F","A",NA,"C","B",NA,NA,"D","B","D","B",NA,"B","C","A","A","A",NA,"B",NA,NA,"A","D","B","D","C","C","E","A",NA,"E","D","B","E","E","B","B","A","B","B","B","C"
"B","B","B","D","C","A","A","B","B","B","C","A",NA,"A","E","A","A","E",NA,"D","C","A",NA,"B","C","C","C","C","D","D","A","B","B",NA,"D","A","D","C","D","C",NA,"A","F","A","D","B","B",NA,NA
"A",NA,"A","C","B","A","E",NA,"A","A","A","C","A",NA,"A","A","C","E",NA,"D","C","B","D","B","F","C","E","C","A","C","B","F","B","E","F","D","A","A","B",NA,"E","E","D","F","D","B","B","B",NA
NA,NA,"A",NA,"B","B","D","D","D","C","A","A","B","E","C","B","D","E",NA,"D","C","A","B","B","F","E","A","B","A",NA,"F","B","A","A","B",NA,"C",NA,"B",NA,NA,"D","A","C","A","B","D",NA,"C"
"B",NA,"A","C","B","B","D",NA,"B",NA,"C","C","B","A","A","A","C","E","C","C","B","A","A","B","A","B",NA,"C","D","C","F","B","A","C","D","D",NA,NA,"E","C","A","A","C","F","D","B","C","B","A"
"B","D","A","C","A","C","E",NA,"A","C","A","C",NA,"B","B","A","B","E","E","A","F","A","C","A","D","C",NA,"A","C","C","A","F","B","E","C","E","A",NA,"B","A","A","B","E","D","D","B",NA,"E",NA
"C","A","A","C","C","C","D",NA,"A","C","B","B","B",NA,"C","B","D","E","A","B","C","B","C","A","E","B",NA,NA,"C",NA,"C","D","D","A","B",NA,NA,"C","D",NA,"E","A","A","F","D","B","B","B","C"
NA,"C","A","C","A","A","D",NA,"B","A","C","E","C",NA,NA,"A","B","B","E","B","C","A",NA,"A",NA,"B","D","C","B","C","E","C","B","E","E",NA,"C","E","E","C","A","A","C","E","D","B","B","E","A"
"B",NA,"A","C","B","C","A","F","B",NA,NA,"B","B","F","D","A","A","A","D","D","C","A","A","B","F","E",NA,NA,"C","C","A","A","B","E",NA,"F","D","C","A","C","A","B","C","D","D","B","A","D",NA
"C","D","A",NA,"B","C","D","F","D",NA,"A","C","A","C","A","A","A","B","A","B","C","A","B","A","A","B","C",NA,"A","B","C","B","A","E","A","D",NA,"F","A","C","A","D","A","E","D","A","C","A","A"
"C","C","B","B","B","A","A","F","B","A","C","C","B","B","B","A","C","E","C","B","D","A",NA,"B",NA,"B","C","B","C",NA,"E","D","B",NA,"C","A","B","F","D",NA,"E","A","E","E","D","B","B","C","A"
"C","C","A","D","B","C","D",NA,"B",NA,NA,"A","B",NA,"A","A","C","E",NA,"D","A","A",NA,"B","F","E","D","C","C","C","B","C","C","E","D","B",NA,NA,"B",NA,"A","D","E","D","D","B","B","E","A"
"B","D","A","B","C","A","D","F","A",NA,"A","C",NA,"A","A","B","A","A",NA,"D","B","A",NA,"A",NA,"A","B","C","C","D","C","B","C","C","F","E","C",NA,"E",NA,NA,"A","C","D","D","A","B","B","A"
"B",NA,"A","D","B","B","D",NA,"D",NA,"B","C","B","B","D","A","A","A","F","A","A","B","C","A","B","B","D",NA,"B",NA,"C","B","D","A","D","D",NA,"E","A","D",NA,"B","E","D","E","B","D","A",NA
"B",NA,"B","C","C","B","A","F","A","A",NA,"B","B","D","C","A","A","E",NA,"C","D","B","D","A",NA,"C","B",NA,"C",NA,"D","D","D","A",NA,NA,"A","C","A","D",NA,"B","C","B","D","B",NA,"A","C"
NA,"D","A",NA,"B","A","D","B","A",NA,NA,"C","C","E","C","A","A","E","E","B","F","A","D","A","C","F","F","A","B","B","A","D","A","A","B","E",NA,"E","D","D","B","E","F","B","B","A","A","B","A"
"C","A","A","C","A","A","A","F","A",NA,"C","A","C","D","A","A","B","E","A","A","C","B","D","A",NA,"D","C","B","C","B","C","F","B",NA,NA,"C","A","E","E","D","A","A","C","B","D","B","D","C","A"
"C","D","A",NA,"B","A","D",NA,"A",NA,"A","B","C","F","C","A","B","E",NA,"B","C","B","D","A",NA,"E","E","B","D","A","B","E","A","C","B",NA,"D",NA,"D","B","D","D","E","E","D","A","C",NA,"C"
"C","C","A","B","C","B","A","E","D",NA,NA,"C","B",NA,"D","A","B","B","E","C","E","B","D","A","E","B",NA,"A","C","B","F","B","C",NA,"B","E","D","F","D","A","A","A","E","C","D","B","B","B","A"
"A",NA,"A","B","B","C","D","E","A",NA,NA,"C","B",NA,"B","A","D","B","B","B","F","A",NA,"A","A","B","B","C","A","C","E","F","A","C",NA,"E",NA,"F","A","B","A","D","C","D","D","B","B",NA,"A"
"A",NA,"A",NA,"B","A","B",NA,"A","C","C",NA,"A","B",NA,"B","D","A","B","D","B","A","C","B","D","C","B","B","B","A","B","B","A",NA,NA,"D","A","E","B","D","A","E","C","A","D","B",NA,NA,"A"
"B","A","A","C","A","C","D",NA,"B","B","C","C","B",NA,NA,"A","A","E","C","D","D","B","A","A","C","E","C",NA,"A","D","D","D","D","A",NA,"C","C","F","E","D","E","E","C","B","D","B","A","A","A"
"B",NA,"A","C","B","A","B",NA,"D",NA,"C",NA,"A","A","D","A","A","B",NA,"A","E","B",NA,"A","F","A","C","A","D","D","D","F","B",NA,"F","B","B","D","B",NA,"E","B","C","B","D","B","C","C","A"
"C","A","A","B","A","A","A","E","A",NA,"B","C","B","B","D","B","B","A","B","A","A","A","D","B",NA,"F","B","B","D",NA,"C","C","D",NA,NA,"D","C","E","A",NA,"E","E","C","B","D","A","D","E","A"
"A","C","A","C","C","C","A","D","D",NA,"B",NA,"A","A","A","A","C","B","E","C","F","B","D","B","D","B",NA,"C","C","C","B","E","C","E","A","F","D",NA,"D","A","E","D","C","F","D","B",NA,"B","C"
"B","C","A","C","C","B","D",NA,"A",NA,"B","C","B",NA,"C","A","D","A","E","D","C","A","D","A","C","E","A","C","C","B","D","F","D","E",NA,NA,"D",NA,"A","A","C","A","C","E","D","B","B",NA,"A"
"A",NA,"A","C","B","A","D","D","B","A","C","E","C","D","D","A","B","E",NA,"B","C","A",NA,"A",NA,"B","C","B","A","C","D","E","A","A","C","E","C",NA,"A","D","A","E","C","A","D","B","D","B","C"
"B",NA,"B","C","B","B","D","D","A","C","A","C","B","A","C","A","A","B","D","C","E","B","A","A","F","C","D",NA,"C","A","D","A","A","C","F",NA,"C",NA,"D",NA,"A","A","F","A","D","A","C","F","A"
"B","A","A","D","C","A","A","E","A",NA,NA,NA,"A",NA,"B","A","C","E","D","D","E","B","C","A",NA,"F","B","C","B","A","F","D","A",NA,"C",NA,NA,"A","E","C",NA,"E","B","D","E","A",NA,"D","A"
"C","A","A",NA,"C","A","D",NA,"A",NA,"A","A",NA,NA,"D","B","D","A","B","A","D","B","B","A","B","F","F","C","C","A","E","F","D","C",NA,"F",NA,"E","A","A","E","D","C","C","D","A","B","A","A"
NA,"C","A","B","C","C","D","A","B",NA,"B",NA,"B","D","B","A","A","E","B","B","B","A","A","A","B","B","B",NA,"A","D","D","D","C","C","B","A",NA,NA,"B","A","A","E","A","C","A","B","C","B","C"
NA,"B","A","C","A","A","D",NA,"B",NA,NA,"C","A","A","B","A","C","E","F","C","A","B","D","A","C","B","F","C","A","A","A","C","C",NA,"C","E",NA,NA,"A","A",NA,"A","A","D","E","A","A","B","A"
NA,NA,"A","C","B","C","D","F","D",NA,"B",NA,"B","B","A","B","D","C","A","B","D","A",NA,"A","D","E","C","A","B","D","E","D","B","E","A","B",NA,NA,"E","C","A","A","F","D","D","B",NA,"E","C"
"A",NA,"A",NA,"B","A","D","D","A",NA,"B","C","A","D","C","A","A","A","E","D","C","B","B","A",NA,"D","D","B","A","D","A","C","B","A","C",NA,NA,NA,"E","A","B","B","F","B","D","A","C",NA,"A"
"C","B","A",NA,"C","C","D","A","A","C",NA,"A","B","C","B","A","D","A",NA,"B","C","A","B","A","B","A",NA,"A","A","D","F","C","A","C","A",NA,NA,"A","A","C",NA,"E","C","D","D","B","B",NA,"A"
"B","B","A","B","B","A","A","E","A","B",NA,NA,"C","E","B","B","A","A",NA,"A","C","A","A","A",NA,"F","B",NA,"B","D","D","F","B","A","F","F",NA,"E","E",NA,NA,"C","A","D","D","B",NA,"B","A"
"B","D","B","B","A","C","D",NA,"B",NA,"A",NA,"A",NA,"B","B","B","A","B","A","D","A","D","A","D","D","C","B","A","D","D","B","C","C","E","F","B",NA,"A","B","E","B","C","B","D","B",NA,"C","C"
"B",NA,"A","D","C","A","D","E","A",NA,"C","C","C","D","C","A","D","A","A","B","A","B","A","B",NA,"E","E","C","D",NA,"D","D","C","A","B",NA,NA,NA,"D","A","D","A","F","E","D","B","D","C","A"
NA,"B","A","C","A","A","D","F","D","C","C","C","C","B",NA,"A","C","A",NA,"C","C","A",NA,"A",NA,"E",NA,"C","A","D","E","F","D",NA,"B",NA,NA,NA,"A","D",NA,"A","F","A","D","A","B","D","C"
"A",NA,"A","B","B","B","B","B","A","C","A","B","B","E",NA,"A","B","A","F","D","F","B","A","A","B","B",NA,NA,"C",NA,"D","B","A","C",NA,"F","C","E","E",NA,"E","B","E","F","D","B","C","C",NA
"C",NA,"A","A","A","C","A","A","A",NA,NA,"C","B","E","B","A","A","E",NA,"D","C","A","A","A","E","A","B",NA,"A","D","F","A","C","C",NA,"F","D","F","A",NA,"E","E","C","E","D","B","D","E","C"
NA,"C","A","C","A","A","A","D","B",NA,"A",NA,"A","B","A","B","B","A","B","C","D","A","C","B",NA,"B",NA,"C","D","C","E","E","C","A","B","B","D",NA,"E","D","B","A","E","E","D","B","A","E","C"
"A","C","A","D","A","C","D","F","A",NA,"A","A","A","D","D","B","C","A","B","C","D","A","C","A","C","C",NA,"C","A","A","A","D","A","C","B","F",NA,"E","D","B","A","E","E","C","D","A","B","B","A"
"C","A","A","C","B","A","A","D","D","A","B",NA,"C","D","B","A","A","E","E","A","F","A","D","B","D","F","D","B","B","B","C","F","B","C","B","A",NA,"E","E","A","D","E","D","A","E","A",NA,"E",NA
"C","C","A","D","C","A","D","F","A",NA,"A","A","C","B","E","A","A","E",NA,"D","C","B","C","A",NA,"B",NA,NA,"B","A","C","C","B","C","D","D",NA,"E","A","C",NA,"E","B","B","A","B","A","D","A"
"B",NA,"A","B","B","C","B","E","B","C","C","C","B","A","D","B","A","E","E","B","D","B","A","A","C","F","D","C","B",NA,"D","D","C","E","A","F","C","F","B","D","A","D","A","D","D","B","A","B","A"
"A","C","A","D","C","B","D",NA,"A","A","A","C",NA,"A","C","B","D","E","E","B","F","A","C","A","C","A",NA,"A","C","D","D","C","A","A","F",NA,NA,"F","E",NA,"A","E","C","E","D","A","B","B","A"
"B","C","A",NA,"C","B","B","F","B",NA,"A",NA,"A","A","A","A","D","A",NA,"D","F","B","B","A","D","C","F","C","C",NA,"F","D","B",NA,"B","D",NA,"E","E","A","A","D","A","A","B","B",NA,NA,"A"
"B","A","A","B","C","C","D",NA,"A","C",NA,"C","B",NA,"A","A","D","E","B","D","E","A","C","B","C","B",NA,"C","C","C","D","B","A","A","B","D","B",NA,"E","B","E","D","A","D","A","B","B","E","A"
"A",NA,"B","B","B","C","B","E","A","B",NA,"C","A","C",NA,"A","C","A","A","C","A","A","D","B",NA,"D","C","C","B","A","A","E","B","E","C","D","A",NA,"D","D","B","E","A","D","E","A",NA,"D","C"
"B","B","B","C","A","C","D","F","A","C","A","C","A","B","B","A","B","E","A","C","A","A",NA,"A","B","E","C","A","A","D","F","E","A","A","F","D","B",NA,"B",NA,NA,"E","B","E","D","B","A","E","A"
NA,"A","B","A","C","A","D","E","A","B","B",NA,"A","A",NA,"A","A","B","E","D","A","A","A","A","A","D","D","A","D","C","F","F","A",NA,"F","C",NA,NA,"D","B","F","A","A","A","D","B","A","F","A"
NA,NA,"A",NA,"B","C","D",NA,"B","B",NA,"E",NA,"A","B","B","B","A","E","B","C","B",NA,"A","E","E","D","A","B","B","E","A","A","E",NA,"D",NA,NA,"B","C",NA,"E","C","F","D","B","D",NA,NA
"A",NA,"A","B","B","A","A",NA,"A",NA,"B","C","B",NA,NA,"B","D","E","A","C","F","B","A","A","A","B",NA,"B","C",NA,"A","E","B","C",NA,"A","C","F","B","A","E","E","C","F","A","B","D","A","A"
NA,"A","A",NA,"C","A","D",NA,"A",NA,"B","B","C","B","D","A","A","A","C","D","B","B","C","B",NA,"A","C",NA,"B","C","C","D","C","C","F","A",NA,NA,"A",NA,NA,"E","C","C","D","B","C","A",NA
"B",NA,"A","B","B","A","D","B","A",NA,"A","C",NA,NA,"C","B","A","A","F","B","D","B","B","B",NA,"F","E","C","C",NA,"D","D","B","A","D",NA,"C","F","B","D",NA,"D","B","E","D","A","C",NA,"A"
"B","A","B","D","A","C","A",NA,"A","C","C",NA,"B","B","C","A","B","B",NA,"B","C","B","A","A","E","F",NA,"C","D","C","C","B","B",NA,"A","B","C","F","D","C","A","D","A","D","D","B","B","D",NA
NA,NA,"A","D","B","B","D",NA,"A",NA,"A","C","B","A","E","A","B","E","F","D","B","A",NA,"A","A","E",NA,"C","C","C","E","D","B","A","F","A","A",NA,"E",NA,"A","E","C","E","D","B","C","B","C"
NA,"C","A","C","B","B","B",NA,"A",NA,NA,"A","A","D",NA,"A","D","A","D","A","F","A",NA,"A","E","E","E","C","C","C","F","E","C","C","A","C","D","F","D","A","A","D","C","D","D","B","D","C","A"
NA,NA,"A","B","B","C","D","B","A",NA,"B","C","B","B","E","B","A","A","A","B","A","B",NA,"B",NA,"E","B","C","C","A","E","D","D",NA,"B","D",NA,NA,"E","A","A","E","A","C","D","A",NA,"B","A"
"B",NA,"A","C","B","A","A",NA,"B",NA,"A","A","C","D","D","A","A","A","A","D","B","B","D","A",NA,"A",NA,NA,"D","A","C","E","A","A","D","F","B","E","A","C","D","A","C","E","D","A","B","B","C"
NA,"A","A","B","A","C","B","E","A",NA,"B","A",NA,NA,"A","A","A","E","E","D","D","A","D","B",NA,"B","D","A","C","D","E","D","C","E",NA,"B","C","E","E","A","A","E","C","C","E","B","D","E","C"
"B","B","B","C","A","C","B","A","A","C",NA,"A","A","D","D","B","A","E","A","D","A","B",NA,"A","A","A",NA,NA,"B","B","D","B","A","E","E","A","A","F","A","A","A","E","B","D","D","B","A","A",NA
"B","B","A","C","C","C","D",NA,"A","B",NA,NA,"B","E",NA,"A","A","E","D","D","F","A","C","A","D","A","C",NA,"A","D","C","B","B",NA,"F","C",NA,NA,"A",NA,"E","D","C","B","D","B","C","E","C"
NA,NA,"B","B","B","C","A","C","A","B","C","C","B","C","E","B","D","E",NA,"D","C","B","A","A","F","B","C",NA,"B","B","C","D","D",NA,"D","C","B","F","E","A","E","D","A","B","E","A","D","D","A"
"C",NA,"A","A","B","C","A",NA,"A",NA,"C","A","B","B","C","A","B","E","D","D","E","A","C","A","C","A","C","B","C","C","C","F","D",NA,NA,"D","D","E","D",NA,"B","A","C","E","D","B","A","A","C"
NA,"C","A","A","B","A","A",NA,"B",NA,NA,"C","A","A",NA,"A","C","E",NA,"B","C","A",NA,"B","C","E","D","B","C",NA,"F","B","D","C","A","B","D","F","D",NA,NA,"A","C","D","D","A","A","B",NA
"B","A","A",NA,"C","A","E",NA,"A","B",NA,"A","C","E","D","A","D","E","B","A","C","B","B","A",NA,"E","A","C","B","D","F","D","B","C",NA,"A","A","E","B","C",NA,"E","C","D","D","A","D","F","C"
"B","B","A","B","B","A","A","E","A","B",NA,"C","C","E","C","A","A","E","F","D","B","B","C","A",NA,"D","B","C","D","C","D","E","A","E","C","A","D","F","A","D","B","E","A","D","D","B","D","B","C"
"C","D","A","B","A","A","D",NA,"A","A","B","A",NA,"A","E","A","B","E",NA,"D","C","A","B","A","A","E",NA,"B","B","D","C","D","D","E","A",NA,"A",NA,"A","D","B","E","C","C","D","A","D",NA,"A"
"B","D","B",NA,"B","C","D",NA,"A","C","B","B","A","A",NA,"A","A","A","F","A","C","B","B","B","A","A",NA,NA,"B","A","A","F","A","C",NA,"E","A","F","B",NA,NA,"B","C","C","B","A","B","B","A"
"A",NA,"A","D","B","C","A",NA,"B","B","A",NA,"B",NA,"A","A","D","E","B","B","D","A","D","B","C","F","D","A","C",NA,"B","A","C","C",NA,"C","C","E","E","A","A","E","C","D","D","A","B","B","C"
NA,"C","A","D","B","B","B","F","B",NA,"A","C","B",NA,"D","B","A","A","B","A","B","B","C","A","B","B",NA,"A","C",NA,"B","A","C","C","B","C","C","A","A","B","A","E","A","D","D","B","C","B","A"
"B","A","A","A","B","C","D","F","A","B","B","C","A","A","B","A","D","E",NA,"B","C","B",NA,"A","B","A","D","C","C","D","B","C","B",NA,"B","C","C","A","C","C",NA,"D","E","A","D","B","D","B","A"
NA,"B","A","B","B","A","D","C","D",NA,"B","C","C",NA,"C","A","A","B",NA,"A","C","A","A","A",NA,"F","F",NA,"A","B","D","F","A","A","D",NA,"C",NA,"A","B","B","D","E","C","D","B","B","C","A"
NA,"B","A",NA,"A","A","D","F","A",NA,NA,NA,NA,"E","C","A","C","A","A","C","A","A","B","A","A","A",NA,"A","D","A","B","C","D","C",NA,NA,"D",NA,"D",NA,"A","D","C","D","D","A","D","E","A"
